CENSUS_YEAR	GEO_CODE (POR)	GEO_LEVEL	GEO_NAME	GNR	DATA_QUALITY_FLAG	ALT_GEO_CODE	DIM: Employment income statistics (7)	Member ID: Employment income statistics (7)	Notes: Employment income statistics (7)	DIM: Work activity during the reference year (4)	Member ID: Work activity during the reference year (4)	Notes: Work activity during the reference year (4)	DIM: Age (6B)	Member ID: Age (6B)	Notes: Age (6B)	DIM: Sex (3)	Member ID: Sex (3)	Notes: Sex (3)	DIM: Occupation - National Occupational Classification (NOC) 2016 (691)	Member ID: Occupation - National Occupational Classification (NOC) 2016 (691)	Notes: Occupation - National Occupational Classification (NOC) 2016 (691)	Average Income - Female	Average Income - Male	Gap	Gap_Perc	City_rank_in_NOC	Num_Cities_for_NOC
2016	550	2	Guelph	3.9	0	35550	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		0	107984	n/a	n/a	n/a	14
2016	205	2	Halifax	4.7	0	12205	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		0	99636	n/a	n/a	n/a	14
2016	537	2	Hamilton	4.5	0	35537	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		93473	123505	30032	0.243164244	5	14
2016	915	2	Kelowna	6	0	59915	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		0	121341	n/a	n/a	n/a	14
2016	521	2	Kingston	4.4	0	35521	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		0	117939	n/a	n/a	n/a	14
2016	541	2	Kitchener - Cambridge - Waterloo	4.4	0	35541	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		84329	121191	36862	0.304164501	10	14
2016	810	2	Lethbridge	6	0	48810	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		0	0	n/a	n/a	n/a	14
2016	555	2	London	4.3	0	35555	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		116160	109904	-6256	-0.056922405	1	14
2016	305	2	Moncton	4.5	0	13305	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		0	113399	n/a	n/a	n/a	14
2016	462	2	Montréal	3.7	20000	24462	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		92836	116375	23539	0.202268528	3	14
2016	532	2	Oshawa	4	0	35532	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		110489	125585	15096	0.120205439	2	14
2016	505	2	Ottawa - Gatineau	4	0	35505	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		97352	173003	75651	0.437281434	13	14
2016	529	2	Peterborough	4.5	0	35529	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		0	113751	n/a	n/a	n/a	14
2016	421	2	Quebec	4.3	0	24421	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		52457	110325	57868	0.524523	14	14
2016	705	2	Regina	5.5	0	47705	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		0	213909	n/a	n/a	n/a	14
2016	408	2	Saguenay	4.6	0	24408	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		0	114684	n/a	n/a	n/a	14
2016	310	2	Saint John	4.9	0	13310	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		0	158337	n/a	n/a	n/a	14
2016	725	2	Saskatoon	4.9	0	47725	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		0	144159	n/a	n/a	n/a	14
2016	433	2	Sherbrooke	4.2	0	24433	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		0	94229	n/a	n/a	n/a	14
2016	539	2	St. Catharines - Niagara	5.1	0	35539	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		0	94648	n/a	n/a	n/a	14
2016	1	2	St. John's	5.3	0	10001	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		103922	133220	29298	0.219921934	4	14
2016	595	2	Thunder Bay	5	0	35595	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		0	0	n/a	n/a	n/a	14
2016	535	2	Toronto	4.2	0	35535	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		91285	121820	30535	0.250656707	7	14
2016	442	2	Trois-Rivières	3.8	0	24442	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		0	86489	n/a	n/a	n/a	14
2016	933	2	Vancouver	5.7	1	59933	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		82246	132819	50573	0.380766306	12	14
2016	935	2	Victoria	4.9	20000	59935	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		0	119594	n/a	n/a	n/a	14
2016	559	2	Windsor	5	0	35559	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		0	189533	n/a	n/a	n/a	14
2016	602	2	Winnipeg	4	0	46602	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0211 Engineering managers	26		75411	106899	31488	0.294558415	8	14
2016	932	2	Abbotsford - Mission	5.3	0	59932	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		0	94312	n/a	n/a	n/a	29
2016	568	2	Barrie	4.1	0	35568	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		98694	101498	2804	0.02762616	4	29
2016	522	2	Belleville	4.8	0	35522	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		0	102819	n/a	n/a	n/a	29
2016	543	2	Brantford	5.3	20000	35543	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		0	103734	n/a	n/a	n/a	29
2016	825	2	Calgary	4.9	0	48825	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		117918	139529	21611	0.154885364	16	29
2016	1	0	Canada	5.1	20000	1	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		98920	113154	14234	0.125793167	11	29
2016	835	2	Edmonton	5.7	0	48835	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		101045	140859	39814	0.282651446	27	29
2016	580	2	Greater Sudbury	5.5	0	35580	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		0	102806	n/a	n/a	n/a	29
2016	550	2	Guelph	3.9	0	35550	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		100299	120102	19803	0.164884848	17	29
2016	205	2	Halifax	4.7	0	12205	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		84524	87106	2582	0.029642045	5	29
2016	537	2	Hamilton	4.5	0	35537	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		107316	125108	17792	0.142213128	14	29
2016	915	2	Kelowna	6	0	59915	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		73157	79822	6665	0.083498284	7	29
2016	521	2	Kingston	4.4	0	35521	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		80238	91607	11369	0.124106236	10	29
2016	541	2	Kitchener - Cambridge - Waterloo	4.4	0	35541	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		93391	115066	21675	0.188370153	23	29
2016	810	2	Lethbridge	6	0	48810	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		0	92413	n/a	n/a	n/a	29
2016	555	2	London	4.3	0	35555	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		88035	101968	13933	0.136640907	13	29
2016	305	2	Moncton	4.5	0	13305	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		84924	102460	17536	0.171149717	20	29
2016	462	2	Montréal	3.7	20000	24462	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		92287	103388	11101	0.107372229	8	29
2016	532	2	Oshawa	4	0	35532	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		98235	118412	20177	0.170396581	19	29
2016	505	2	Ottawa - Gatineau	4	0	35505	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		103941	119363	15422	0.129202517	12	29
2016	529	2	Peterborough	4.5	0	35529	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		87595	105769	18174	0.171827284	21	29
2016	421	2	Quebec	4.3	0	24421	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		91993	92226	233	0.002526403	2	29
2016	705	2	Regina	5.5	0	47705	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		114276	121348	7072	0.05827867	6	29
2016	408	2	Saguenay	4.6	0	24408	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		55261	69331	14070	0.202939522	24	29
2016	310	2	Saint John	4.9	0	13310	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		75202	100741	25539	0.25351148	25	29
2016	725	2	Saskatoon	4.9	0	47725	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		71286	103069	31783	0.30836624	28	29
2016	433	2	Sherbrooke	4.2	0	24433	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		80931	70056	-10875	-0.155232956	1	29
2016	539	2	St. Catharines - Niagara	5.1	0	35539	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		84206	98189	13983	0.142409027	15	29
2016	1	2	St. John's	5.3	0	10001	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		84575	103917	19342	0.186129315	22	29
2016	595	2	Thunder Bay	5	0	35595	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		0	81195	n/a	n/a	n/a	29
2016	535	2	Toronto	4.2	0	35535	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		105776	119712	13936	0.116412724	9	29
2016	442	2	Trois-Rivières	3.8	0	24442	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		0	74797	n/a	n/a	n/a	29
2016	933	2	Vancouver	5.7	1	59933	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		95935	115436	19501	0.168933435	18	29
2016	935	2	Victoria	4.9	20000	59935	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		80594	108397	27803	0.256492338	26	29
2016	559	2	Windsor	5	0	35559	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		89365	145722	56357	0.386743251	29	29
2016	602	2	Winnipeg	4	0	46602	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		0213 Computer and information systems managers	28		99217	101794	2577	0.025315834	3	29
2016	932	2	Abbotsford - Mission	5.3	0	59932	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		2111 Physicists and astronomers	150		0	0	n/a	n/a	n/a	5
2016	568	2	Barrie	4.1	0	35568	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		2111 Physicists and astronomers	150		0	0	n/a	n/a	n/a	5
2016	522	2	Belleville	4.8	0	35522	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		2111 Physicists and astronomers	150		0	0	n/a	n/a	n/a	5
2016	543	2	Brantford	5.3	20000	35543	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		2111 Physicists and astronomers	150		0	0	n/a	n/a	n/a	5
2016	825	2	Calgary	4.9	0	48825	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		2111 Physicists and astronomers	150		0	86411	n/a	n/a	n/a	5
2016	1	0	Canada	5.1	20000	1	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		2111 Physicists and astronomers	150		79105	90582	11477	0.126702877	3	5
2016	835	2	Edmonton	5.7	0	48835	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		2111 Physicists and astronomers	150		0	94584	n/a	n/a	n/a	5
2016	580	2	Greater Sudbury	5.5	0	35580	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		2111 Physicists and astronomers	150		0	0	n/a	n/a	n/a	5
2016	550	2	Guelph	3.9	0	35550	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		2111 Physicists and astronomers	150		0	0	n/a	n/a	n/a	5
2016	205	2	Halifax	4.7	0	12205	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		2111 Physicists and astronomers	150		0	0	n/a	n/a	n/a	5
2016	537	2	Hamilton	4.5	0	35537	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		2111 Physicists and astronomers	150		0	122349	n/a	n/a	n/a	5
2016	915	2	Kelowna	6	0	59915	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		2111 Physicists and astronomers	150		0	0	n/a	n/a	n/a	5
2016	521	2	Kingston	4.4	0	35521	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		2111 Physicists and astronomers	150		0	0	n/a	n/a	n/a	5
2016	541	2	Kitchener - Cambridge - Waterloo	4.4	0	35541	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		2111 Physicists and astronomers	150		0	114753	n/a	n/a	n/a	5
2016	810	2	Lethbridge	6	0	48810	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		2111 Physicists and astronomers	150		0	0	n/a	n/a	n/a	5
2016	555	2	London	4.3	0	35555	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		2111 Physicists and astronomers	150		0	100780	n/a	n/a	n/a	5
2016	305	2	Moncton	4.5	0	13305	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		2111 Physicists and astronomers	150		0	0	n/a	n/a	n/a	5
2016	462	2	Montréal	3.7	20000	24462	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		2111 Physicists and astronomers	150		68634	81041	12407	0.153095347	4	5
2016	532	2	Oshawa	4	0	35532	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		2111 Physicists and astronomers	150		0	0	n/a	n/a	n/a	5
2016	505	2	Ottawa - Gatineau	4	0	35505	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		2111 Physicists and astronomers	150		80981	103997	23016	0.221314076	5	5
2016	529	2	Peterborough	4.5	0	35529	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		2111 Physicists and astronomers	150		0	0	n/a	n/a	n/a	5
2016	421	2	Quebec	4.3	0	24421	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		2111 Physicists and astronomers	150		0	65589	n/a	n/a	n/a	5
2016	705	2	Regina	5.5	0	47705	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		2111 Physicists and astronomers	150		0	0	n/a	n/a	n/a	5
2016	408	2	Saguenay	4.6	0	24408	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		2111 Physicists and astronomers	150		0	0	n/a	n/a	n/a	5
2016	310	2	Saint John	4.9	0	13310	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		2111 Physicists and astronomers	150		0	0	n/a	n/a	n/a	5
2016	725	2	Saskatoon	4.9	0	47725	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		2111 Physicists and astronomers	150		0	98170	n/a	n/a	n/a	5
2016	433	2	Sherbrooke	4.2	0	24433	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		2111 Physicists and astronomers	150		0	0	n/a	n/a	n/a	5
2016	539	2	St. Catharines - Niagara	5.1	0	35539	Average employment income ($)	4		Total - Work activity during the reference year	1	2	Total - Age	1		Female	3		2111 Physicists and astronomers	150		0	0	n/a	n/a	n/a	5
